customer,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Paul Van Hugh,89,5,2876,3,4,2,342
Pauline Chand,882,2,1062,4,4,4,444
Pauline Johnson,134,7,1824,3,2,3,323
Pauline Webber,46,10,3455,2,1,2,212
Penelope Sewall,236,7,6843,4,2,1,421
Pete Armstrong,103,6,730,3,3,4,334
Pete Kriz,9,12,8647,1,1,1,111
Pete Takahito,71,4,160,2,4,4,244
Peter BŸhler,57,4,689,2,4,4,244
Peter Fuller,835,4,9063,4,4,1,441
Peter McVee,51,4,4115,2,4,1,241
Philip Brown,97,8,1456,3,2,3,323
Philip Fox,196,6,2770,4,3,2,432
Philisse Overcash,160,9,4893,3,1,1,311
Phillina Ober,86,5,1056,3,4,4,344
Phillip Breyer,688,2,133,4,4,4,444
Phillip Flathmann,114,5,2207,3,4,3,343
Pierre Wener,464,7,3922,4,2,1,421
Quincy Jones,25,9,6109,1,1,1,111
Rachel Payne,496,4,954,4,4,4,444
Ralph Arnett,5,9,2618,1,1,2,112
Ralph Kennedy,119,3,1460,3,4,3,343
Ralph Ritter,19,2,616,1,4,4,144
Randy Bradley,68,2,1008,2,4,4,244
Randy Ferguson,390,8,3310,4,2,2,422
Raymond Buch,96,6,15117,3,3,1,331
Raymond Messe,345,6,1453,4,3,3,433
Resi Pšlking,33,12,5154,2,1,1,211
Ricardo Emerson,1098,1,48,4,4,4,444
Ricardo Sperren,76,5,3221,3,4,2,342
Richard Bierner,19,8,2664,1,2,2,122
Richard Eichhorn,302,5,877,4,4,4,444
Rick Bensley,9,12,4716,1,1,1,111
Rick Duston,72,8,4272,2,2,1,221
Rick Hansen,32,5,3622,2,4,2,242
Rick Huthwaite,467,6,6978,4,3,1,431
Rick Reed,170,6,3301,3,3,2,332
Rick Wilson,120,7,7398,3,2,1,321
Ritsa Hightower,519,2,740,4,4,4,444
Rob Beeghly,25,5,529,1,4,4,144
Rob Dowd,180,10,2914,3,1,2,312
Rob Haberlin,534,3,2086,4,4,3,443
Rob Lucas,121,8,6236,3,2,1,321
Rob Williams,89,9,3279,3,1,2,312
Robert Barroso,648,5,222,4,4,4,444
Robert Dilbeck,114,5,2787,3,4,2,342
Robert Marley,6,5,5979,1,4,1,141
Robert Waldorf,79,5,3496,3,4,2,342
Roger Barcio,54,4,2068,2,4,3,243
Roger Demir,21,10,1420,1,1,3,113
Roland Fjeld,89,7,2342,3,2,2,322
Roland Murray,299,1,98,4,4,4,444
Roland Schwarz,36,8,4160,2,2,1,221
Rose O'Brian,35,7,3816,2,2,1,221
Ross Baird,32,8,5633,2,2,1,221
Ross DeVincentis,14,8,1136,1,2,4,124
Roy Collins,369,6,967,4,3,4,434
Roy Franzšsisch,6,8,945,1,2,4,124
Roy Phan,28,8,2170,1,2,3,123
Roy Skaria,19,2,23,1,4,4,144
Ruben Ausman,43,7,3833,2,2,1,221
Ruben Dartt,114,9,3134,3,1,2,312
Russell Applegate,12,9,4793,1,1,1,111
Russell D'Ascenzo,42,4,971,2,4,4,244
Ryan Akin,61,5,1686,2,4,3,243
Ryan Crowe,110,6,887,3,3,4,334
Sally Hughsby,29,13,3408,1,1,2,112
Sally Knutson,8,3,884,1,4,4,144
Sally Matthias,421,4,244,4,4,4,444
Sam Craven,781,5,3364,4,4,2,442
Sam Zeldin,35,11,3627,2,1,2,212
Sample Company A,40,9,4625,2,1,1,211
Sandra Flanagan,59,7,764,2,2,4,224
Sandra Glassco,8,3,3406,1,4,2,142
Sanjit Chand,349,9,14143,4,1,1,411
Sanjit Engle,9,11,12210,1,1,1,111
Sanjit Jacobs,95,12,3949,3,1,1,311
Saphhira Shifley,15,8,1324,1,2,3,123
Sara Luxemburg,70,7,3053,2,2,2,222
Sarah Bern,201,3,1349,4,4,3,443
Sarah Brown,188,6,6412,4,3,1,431
Sarah Foster,59,9,3424,2,1,2,212
Sarah Jordon,29,6,1341,1,3,3,133
Scot Coram,149,4,4372,3,4,1,341
Scot Wooten,81,7,1085,3,2,4,324
Scott Cohen,187,8,3730,4,2,2,422
Scott Williamson,30,6,1966,1,3,3,133
Sean Braxton,47,7,8058,2,2,1,221
Sean Christensen,29,7,3980,1,2,1,121
Sean Miller,79,5,25042,3,4,1,341
Sean O'Donnell,29,6,2603,1,3,2,132
Sean Wendt,162,3,1019,3,4,4,344
Seth Vernon,101,10,11471,3,1,1,311
Shahid Collister,30,9,5993,1,1,1,111
Shahid Hopkins,23,10,2181,1,1,3,113
Shahid Shariari,110,6,3057,3,3,2,332
Sharelle Roach,8,5,3233,1,4,2,142
Shaun Chance,36,7,1875,2,2,3,223
Shaun Weien,162,7,2923,3,2,2,322
Sheri Gordon,183,8,1885,3,2,3,323
Shirley Daniels,200,9,6122,4,1,1,411
Shirley Jackson,253,5,1319,4,4,3,443
Shirley Schmidt,491,3,613,4,4,4,444
Shui Tom,125,7,432,3,2,4,324
Sibella Parks,327,6,1307,4,3,3,433
Skye Norling,111,6,1860,3,3,3,333
Sonia Cooley,92,5,902,3,4,4,344
Sonia Sunley,432,6,418,4,3,4,434
Speros Goranitis,108,6,3125,3,3,2,332
Stefania Perrino,47,9,5442,2,1,1,211
Stefanie Holloman,765,2,2096,4,4,3,443
Stephanie Phelps,386,9,1873,4,1,3,413
Stephanie Ulpright,20,7,2595,1,2,2,122
Steve Carroll,126,6,1255,3,3,3,333
Steve Chapman,89,10,2578,3,1,2,312
Steve Nguyen,79,7,3129,3,2,2,322
Steven Cartwright,187,11,5225,4,1,1,411
Steven Roelle,196,8,4346,4,2,1,421
Steven Ward,534,2,759,4,4,4,444
Stewart Carmichael,41,7,4493,2,2,1,221
Stewart Visinsky,320,9,4104,4,1,1,411
Stuart Calhoun,30,4,278,1,4,4,144
Stuart Van,76,4,1271,3,4,3,343
Sue Ann Reed,63,10,4766,2,1,1,211
Sung Chung,131,2,281,3,4,4,344
Sung Pak,79,10,4283,3,1,1,311
Sung Shariari,120,5,965,3,4,4,344
Susan Gilcrest,226,3,49,4,4,4,444
Susan MacKendrick,606,1,1043,4,4,4,444
Susan Pistek,70,6,3991,2,3,1,231
Susan Vittorini,2,8,1904,1,2,3,123
Suzanne McNair,25,12,5565,1,1,1,111
Sylvia Foulston,48,9,3336,2,1,2,212
Tamara Chand,399,5,19052,4,4,1,441
Tamara Dahlen,37,9,1435,2,1,3,213
Tamara Manning,103,8,2955,3,2,2,322
Tamara Willingham,64,7,5279,2,2,1,221
Tanja Norvell,90,7,3130,3,2,2,322
Ted Butterfield,119,5,1469,3,4,3,343
Ted Trevino,31,7,4915,2,2,1,221
Thais Sissman,357,2,5,4,4,4,444
Thea Hendricks,344,5,2424,4,4,2,442
Thea Hudgings,58,4,2943,2,4,2,242
Theone Pippenger,8,9,4455,1,1,1,111
Theresa Coyne,106,1,1038,3,4,4,344
Theresa Swint,504,6,2163,4,3,3,433
Thomas Boland,58,4,3589,2,4,2,242
Thomas Brumley,49,4,816,2,4,4,244
Thomas Seio,198,7,5372,4,2,1,421
Thomas Thornton,183,8,1428,3,2,3,323
Tiffany House,117,8,1021,3,2,4,324
Tim Brockman,349,7,1603,4,2,3,423
Tim Taslimi,406,3,439,4,4,4,444
Toby Braunhardt,583,6,2197,4,3,3,433
Toby Carlisle,27,8,4266,1,2,1,121
Toby Gnade,337,5,3059,4,4,2,442
Toby Ritter,193,5,676,4,4,4,444
Toby Swindell,226,5,976,4,4,4,444
Todd Boyes,146,5,834,3,4,4,344
Todd Sumrall,36,6,11892,2,3,1,231
Tom Ashbrook,69,4,14595,2,4,1,241
Tom Boeckenhauer,202,7,9133,4,2,1,421
Tom Prescott,104,5,5330,3,4,1,341
Tom Stivers,172,5,2054,3,4,3,343
Tonja Turnell,12,7,5365,1,2,1,121
Tony Chapman,153,9,1244,3,1,3,313
Tony Molinari,130,3,1095,3,4,4,344
Tony Sayre,11,6,2243,1,3,3,133
Tracy Blumstein,107,9,4737,3,1,1,311
Tracy Collins,4,7,743,1,2,4,124
Tracy Hopkins,72,7,4233,2,2,1,221
Tracy Poddar,350,4,1937,4,4,3,443
Tracy Zic,35,4,1707,2,4,3,243
Troy Blackwell,285,5,1387,4,4,3,443
Troy Staebel,55,7,2821,2,2,2,222
Trudy Brown,30,9,2798,1,1,2,112
Trudy Glocke,114,4,2075,3,4,3,343
Trudy Schmidt,238,5,3368,4,4,2,442
Valerie Dominguez,581,6,6442,4,3,1,431
Valerie Mitchum,54,7,2455,2,2,2,222
Valerie Takahito,1000,2,1736,4,4,3,443
Vicky Freymann,13,5,849,1,4,4,144
Victor Preis,30,3,994,1,4,4,144
Victoria Brennan,54,6,2006,2,3,3,233
Victoria Pisteka,75,7,3361,2,2,2,222
Victoria Wilson,28,10,6134,1,1,1,111
Vivek Gonzalez,154,6,846,3,3,4,334
Vivek Grady,286,5,427,4,4,4,444
Vivek Sundaresam,221,4,1055,4,4,4,444
Vivian Mathis,117,5,381,3,4,4,344
William Brown,20,11,6159,1,1,1,111
Xylona Preis,43,11,2375,2,1,2,212
Yana Sorensen,9,8,6721,1,2,1,121
Yoseph Carroll,4,5,5455,1,4,1,141
Zuschuss Carroll,54,13,8027,2,1,1,211
Zuschuss Donatelli,202,5,1494,4,4,3,443
